,Data,Sex,Strain
0,10.485450878349225,M,Wild Type
1,11.747947754688008,M,Wild Type
2,13.412580035951615,M,Wild Type
3,12.910095255706722,M,Wild Type
4,10.367770448744894,M,Wild Type
5,11.698421770214244,M,Wild Type
6,11.583152773548996,M,Wild Type
7,11.4473489191323,M,Wild Type
8,10.852276193172294,M,Wild Type
9,11.285897418686885,M,Wild Type
10,8.250013099076028,F,Wild Type
11,8.453839319273994,F,Wild Type
12,9.706604837832602,F,Wild Type
13,9.522116377886055,F,Wild Type
14,8.583212460462807,F,Wild Type
15,9.835001710250664,F,Wild Type
16,10.532096024212644,F,Wild Type
17,9.39416641205885,F,Wild Type
18,8.739472657788586,F,Wild Type
19,10.892393989181093,F,Wild Type
20,20.127062783467547,M,Mutant
21,20.068146989999487,M,Mutant
22,21.215147894258635,M,Mutant
23,20.70641577602168,M,Mutant
24,18.07479515006648,M,Mutant
25,20.36762403048892,M,Mutant
26,20.15252057842616,M,Mutant
27,19.392475812028557,M,Mutant
28,18.52434071242466,M,Mutant
29,20.325026291142493,M,Mutant
30,25.946384142048284,F,Mutant
31,23.4648701301568,F,Mutant
32,22.98948033878886,F,Mutant
33,25.32437595439396,F,Mutant
34,22.60748687750068,F,Mutant
35,23.05218737276562,F,Mutant
36,25.36903669616981,F,Mutant
37,23.37270897481638,F,Mutant
38,25.215646441257334,F,Mutant
39,24.99050452721226,F,Mutant
